=== SHEET: background lists ===
COMPLETE	√	YES	X		1)	Yes	Phase	Description	Phase + Description		Description2	Phase + Description	Phase
					91)		01-6001-10000-	Multivista	01-6001-10000- - (Multivista)		Place and Finish Elev Decks	03-3305-90000- - (Place and Finish Elev Decks)	03-3305-90000-
					92)		01-6002-10000-	Digital Plan Room	01-6002-10000- - (Digital Plan Room)		Place and Finish Precast Topping	03-3306-10000- - (Place and Finish Precast Topping)	03-3306-10000-
					93)		01-6020-10000-	Interior Scaffolding	01-6020-10000- - (Interior Scaffolding)		Place and Finish Precast Topping	03-3306-90000- - (Place and Finish Precast Topping)	03-3306-90000-
					94)		01-6030-10000-	Unload Mat'l	01-6030-10000- - (Unload Mat'l)		Place and Finish Slabs on Mtl Deck	03-3307-10000- - (Place and Finish Slabs on Mtl Deck)	03-3307-10000-
					95)		01-6035-10000-	Forklift	01-6035-10000- - (Forklift)		Place and Finish Slabs on Mtl Deck	03-3307-90000- - (Place and Finish Slabs on Mtl Deck)	03-3307-90000-
					96)		01-6040-10000-	Mat'l Protection	01-6040-10000- - (Mat'l Protection)		Place and Finish SOG	03-3308-10000- - (Place and Finish SOG)	03-3308-10000-
					97)		01-6045-10000-	Street Sweeper	01-6045-10000- - (Street Sweeper)		Place and Finish SOG	03-3308-90000- - (Place and Finish SOG)	03-3308-90000-
					98)		01-6060-10000-	Special Equip.	01-6060-10000- - (Special Equip.)		Place and Finish Column Box-outs	03-3309-10000- - (Place and Finish Column Box-outs)	03-3309-10000-
					99)		01-6065-10000-	Promotional	01-6065-10000- - (Promotional)		Place and Finish Column Box-outs	03-3309-90000- - (Place and Finish Column Box-outs)	03-3309-90000-
					100)		01-6070-10000-	Safety Equipment	01-6070-10000- - (Safety Equipment)		Place and Finish Conc Stairs	03-3310-10000- - (Place and Finish Conc Stairs)	03-3310-10000-
					101)		01-6075-10000-	Safety - Contract Service	01-6075-10000- - (Safety - Contract Service)		Place and Finish Conc Stairs	03-3310-90000- - (Place and Finish Conc Stairs)	03-3310-90000-
					102)		01-6080-10000-	Small Tools	01-6080-10000- - (Small Tools)		ICF Bracing	03-3320-10000- - (ICF Bracing)	03-3320-10000-
					103)		01-6100-10000-	Shoring	01-6100-10000- - (Shoring)		ICF Reinforcing	03-3330-10000- - (ICF Reinforcing)	03-3330-10000-
					104)		01-7010-10000-	Detail & Close - Out	01-7010-10000- - (Detail & Close - Out)		ICF Concrete	03-3340-10000- - (ICF Concrete)	03-3340-10000-
					105)		01-8050-10000-	Gas Co. Charges	01-8050-10000- - (Gas Co. Charges)		ICF Pump Trucks	03-3350-10000- - (ICF Pump Trucks)	03-3350-10000-
					106)		01-8100-10000-	Underground Conflicts	01-8100-10000- - (Underground Conflicts)		ICF Lumber	03-3360-10000- - (ICF Lumber)	03-3360-10000-
					107)		01-9000-10000-	Gen & Admin Labor Allocated	01-9000-10000- - (Gen & Admin Labor Allocated)		ICF Miscellaneous Tools, Safety	03-3370-10000- - (ICF Miscellaneous Tools, Safety)	03-3370-10000-
					108)		01-9500-10000-	Preconstruction Costs Allocate	01-9500-10000- - (Preconstruction Costs Allocate)		ICF Miscellaneous Equipment	03-3380-10000- - (ICF Miscellaneous Equipment)	03-3380-10000-
					109)		60-1210-10000	Virtual Construction Director	60-1210-10000 - (Virtual Construction Director)		Grade Beam Subcontractor	03-3600-10000- - (Grade Beam Subcontractor)	03-3600-10000-
					110)		60-1215-10000	Virtual Construction Manager	60-1215-10000 - (Virtual Construction Manager)		SOG Subcontractor	03-4100-10000- - (SOG Subcontractor)	03-4100-10000-
					111)						Misc Pads Subcontractor	03-4200-10000- - (Misc Pads Subcontractor)	03-4200-10000-
					112)						Grout Base Plates	03-4255-10000- - (Grout Base Plates)	03-4255-10000-
					113)						Grout Base Plates	03-4255-90000- - (Grout Base Plates)	03-4255-90000-
